,Unnamed: 0,title,subtitle,pdf,txt,more,fileName,year,date,President
413,413,"30 WCPD 701 - Proclamation 6663--National Former Prisoner of War Recognition Day, 1994","Proclamations. Wednesday, April 6, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg701.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg701.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg701&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg701,1994,"Wednesday, April 6, 1994",Bill Clinton
414,414,30 WCPD 702 - Remarks on Arrival,"Addresses and Remarks. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg702.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg702.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg702&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg702,1994,"Friday, April 8, 1994",Bill Clinton
415,415,30 WCPD 706 - Remarks in a Health Care Roundtable in Topeka,"Addresses and Remarks. Thursday, April 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg706.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg706.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg706&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg706,1994,"Thursday, April 7, 1994",Bill Clinton
416,416,"30 WCPD 718 - Remarks in a Town Meeting in Kansas City, Missouri","Addresses and Remarks. Thursday, April 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg718.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg718.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg718&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg718,1994,"Thursday, April 7, 1994",Bill Clinton
417,417,30 WCPD 737 - Statement on the Attack on Israeli Civilians,"Statements by the President. Thursday, April 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg737.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg737.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg737&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg737,1994,"Thursday, April 7, 1994",Bill Clinton
418,418,30 WCPD 737 - Statement on the Deaths of Leaders of Rwanda and Burundi,"Statements by the President. Thursday, April 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg737-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg737-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg737-2&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg737-2,1994,"Thursday, April 7, 1994",Bill Clinton
419,419,30 WCPD 737 - Statement on the District Court Decision on Chicago's ``Operation Clean Sweep'',"Statements by the President. Thursday, April 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg737-3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg737-3.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg737-3&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg737-3,1994,"Thursday, April 7, 1994",Bill Clinton
420,420,"30 WCPD 738 - Proclamation 6664--Cancer Control Month, 1994","Proclamations. Thursday, April 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg738.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg738.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg738&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg738,1994,"Thursday, April 7, 1994",Bill Clinton
421,421,30 WCPD 739 - Letter to Congressional Leaders,"Communications to Congress. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg739.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg739.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg739&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg739,1994,"Friday, April 8, 1994",Bill Clinton
422,422,30 WCPD 741 - Digest of Other White House Announcements,"Supplementary Materials. Friday, April 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/pdf/WCPD-1994-04-11-Pg741.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-04-11/html/WCPD-1994-04-11-Pg741.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F04&granuleId=WCPD-1994-04-11-Pg741&packageId=WCPD-1994-04-11&fromBrowse=true,WCPD-1994-04-11-Pg741,1994,"Friday, April 8, 1994",Bill Clinton
