title,subtitle,pdf,txt,more,fileName,year
DCPD-201600030  - Statement on the 43d Anniversary of the Supreme Court Decision in,"Statements by the President. Friday, January 22, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600030/pdf/DCPD-201600030.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600030/html/DCPD-201600030.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600030&fromBrowse=true,DCPD-201600030,2016
DCPD-201600031  - Statement on the Crash of Two United States Marine Corps CH-53E Helicopters in Hawaii,"Statements by the President. Friday, January 22, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600031/pdf/DCPD-201600031.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600031/html/DCPD-201600031.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600031&fromBrowse=true,DCPD-201600031,2016
DCPD-201600032  - The President's Weekly Address,"Addresses and Remarks. Saturday, January 23, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600032/pdf/DCPD-201600032.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600032/html/DCPD-201600032.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600032&fromBrowse=true,DCPD-201600032,2016
DCPD-201600033  - Remarks at a Ceremony Honoring Recipients of the Righteous Among the Nations Medal at the Embassy...,"Addresses and Remarks. Wednesday, January 27, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600033/pdf/DCPD-201600033.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600033/html/DCPD-201600033.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600033&fromBrowse=true,DCPD-201600033,2016
DCPD-201600034  - Memorandum on the White House Cancer Moonshot Task Force,"Communications to Federal Agencies. Thursday, January 28, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600034/pdf/DCPD-201600034.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600034/html/DCPD-201600034.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600034&fromBrowse=true,DCPD-201600034,2016
"DCPD-201600035  - Remarks at the House Democratic Issues Conference in Baltimore, Maryland","Addresses and Remarks. Thursday, January 28, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600035/pdf/DCPD-201600035.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600035/html/DCPD-201600035.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600035&fromBrowse=true,DCPD-201600035,2016
DCPD-201600036  - Remarks Commemorating the Seventh Anniversary of the Lilly Ledbetter Fair Pay Act,"Addresses and Remarks. Friday, January 29, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600036/pdf/DCPD-201600036.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600036/html/DCPD-201600036.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600036&fromBrowse=true,DCPD-201600036,2016
DCPD-201600037  - Statement on the Resignation of Katherine Beirne Fallon as White House Director of Legislative...,"Resignations and Retirements. Friday, January 29, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600037/pdf/DCPD-201600037.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600037/html/DCPD-201600037.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600037&fromBrowse=true,DCPD-201600037,2016
"DCPD-201600038  - Proclamation 9391-American Heart Month, 2016","Proclamations. Friday, January 29, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600038/pdf/DCPD-201600038.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600038/html/DCPD-201600038.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600038&fromBrowse=true,DCPD-201600038,2016
"DCPD-201600039  - Proclamation 9392-National African American History Month, 2016","Proclamations. Friday, January 29, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600039/pdf/DCPD-201600039.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600039/html/DCPD-201600039.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600039&fromBrowse=true,DCPD-201600039,2016
"DCPD-201600040  - Proclamation 9393-National Teen Dating Violence Awareness and Prevention Month, 2016","Proclamations. Friday, January 29, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600040/pdf/DCPD-201600040.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600040/html/DCPD-201600040.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600040&fromBrowse=true,DCPD-201600040,2016
